starred_at,login,id,node_id,url,followers_url,subscriptions_url,organizations_url,repos_url,type,site_admin
2020-08-10T15:18:56Z,shomatan,17427345,MDQ6VXNlcjE3NDI3MzQ1,https://api.github.com/users/shomatan,https://api.github.com/users/shomatan/followers,https://api.github.com/users/shomatan/subscriptions,https://api.github.com/users/shomatan/orgs,https://api.github.com/users/shomatan/repos,User,False
2020-09-09T19:50:42Z,advancedflier,70490573,MDQ6VXNlcjcwNDkwNTcz,https://api.github.com/users/advancedflier,https://api.github.com/users/advancedflier/followers,https://api.github.com/users/advancedflier/subscriptions,https://api.github.com/users/advancedflier/orgs,https://api.github.com/users/advancedflier/repos,User,False
2020-09-13T01:07:06Z,Hoogestraat,71153748,MDQ6VXNlcjcxMTUzNzQ4,https://api.github.com/users/Hoogestraat,https://api.github.com/users/Hoogestraat/followers,https://api.github.com/users/Hoogestraat/subscriptions,https://api.github.com/users/Hoogestraat/orgs,https://api.github.com/users/Hoogestraat/repos,User,False
2020-09-28T03:30:11Z,woojoong88,32275304,MDQ6VXNlcjMyMjc1MzA0,https://api.github.com/users/woojoong88,https://api.github.com/users/woojoong88/followers,https://api.github.com/users/woojoong88/subscriptions,https://api.github.com/users/woojoong88/orgs,https://api.github.com/users/woojoong88/repos,User,False
2020-10-19T12:04:29Z,justicelee,2952273,MDQ6VXNlcjI5NTIyNzM=,https://api.github.com/users/justicelee,https://api.github.com/users/justicelee/followers,https://api.github.com/users/justicelee/subscriptions,https://api.github.com/users/justicelee/orgs,https://api.github.com/users/justicelee/repos,User,False
2020-10-25T21:02:04Z,Qbicz,5618209,MDQ6VXNlcjU2MTgyMDk=,https://api.github.com/users/Qbicz,https://api.github.com/users/Qbicz/followers,https://api.github.com/users/Qbicz/subscriptions,https://api.github.com/users/Qbicz/orgs,https://api.github.com/users/Qbicz/repos,User,False
2020-10-28T02:17:54Z,KennyDizi,16578966,MDQ6VXNlcjE2NTc4OTY2,https://api.github.com/users/KennyDizi,https://api.github.com/users/KennyDizi/followers,https://api.github.com/users/KennyDizi/subscriptions,https://api.github.com/users/KennyDizi/orgs,https://api.github.com/users/KennyDizi/repos,User,False
2020-11-14T14:56:32Z,binford999,46282524,MDQ6VXNlcjQ2MjgyNTI0,https://api.github.com/users/binford999,https://api.github.com/users/binford999/followers,https://api.github.com/users/binford999/subscriptions,https://api.github.com/users/binford999/orgs,https://api.github.com/users/binford999/repos,User,False
2020-11-19T14:46:06Z,crispy-computing-machine,5684066,MDQ6VXNlcjU2ODQwNjY=,https://api.github.com/users/crispy-computing-machine,https://api.github.com/users/crispy-computing-machine/followers,https://api.github.com/users/crispy-computing-machine/subscriptions,https://api.github.com/users/crispy-computing-machine/orgs,https://api.github.com/users/crispy-computing-machine/repos,User,False
2020-11-20T22:33:22Z,axi0m,2532857,MDQ6VXNlcjI1MzI4NTc=,https://api.github.com/users/axi0m,https://api.github.com/users/axi0m/followers,https://api.github.com/users/axi0m/subscriptions,https://api.github.com/users/axi0m/orgs,https://api.github.com/users/axi0m/repos,User,False
2020-12-28T18:15:40Z,MrWood90,64485157,MDQ6VXNlcjY0NDg1MTU3,https://api.github.com/users/MrWood90,https://api.github.com/users/MrWood90/followers,https://api.github.com/users/MrWood90/subscriptions,https://api.github.com/users/MrWood90/orgs,https://api.github.com/users/MrWood90/repos,User,False
2020-12-29T03:04:41Z,adrianfz,9896231,MDQ6VXNlcjk4OTYyMzE=,https://api.github.com/users/adrianfz,https://api.github.com/users/adrianfz/followers,https://api.github.com/users/adrianfz/subscriptions,https://api.github.com/users/adrianfz/orgs,https://api.github.com/users/adrianfz/repos,User,False
2020-12-31T18:01:57Z,hannesa2,3314607,MDQ6VXNlcjMzMTQ2MDc=,https://api.github.com/users/hannesa2,https://api.github.com/users/hannesa2/followers,https://api.github.com/users/hannesa2/subscriptions,https://api.github.com/users/hannesa2/orgs,https://api.github.com/users/hannesa2/repos,User,False
2021-01-09T17:32:40Z,inouire,404520,MDQ6VXNlcjQwNDUyMA==,https://api.github.com/users/inouire,https://api.github.com/users/inouire/followers,https://api.github.com/users/inouire/subscriptions,https://api.github.com/users/inouire/orgs,https://api.github.com/users/inouire/repos,User,False
2021-01-15T09:21:52Z,baishalidutta,76659596,MDQ6VXNlcjc2NjU5NTk2,https://api.github.com/users/baishalidutta,https://api.github.com/users/baishalidutta/followers,https://api.github.com/users/baishalidutta/subscriptions,https://api.github.com/users/baishalidutta/orgs,https://api.github.com/users/baishalidutta/repos,User,False
2021-01-18T00:56:00Z,heimzzz,31362810,MDQ6VXNlcjMxMzYyODEw,https://api.github.com/users/heimzzz,https://api.github.com/users/heimzzz/followers,https://api.github.com/users/heimzzz/subscriptions,https://api.github.com/users/heimzzz/orgs,https://api.github.com/users/heimzzz/repos,User,False
2021-02-09T16:04:28Z,AllyRaspberry,78272131,MDQ6VXNlcjc4MjcyMTMx,https://api.github.com/users/AllyRaspberry,https://api.github.com/users/AllyRaspberry/followers,https://api.github.com/users/AllyRaspberry/subscriptions,https://api.github.com/users/AllyRaspberry/orgs,https://api.github.com/users/AllyRaspberry/repos,User,False
2021-05-08T21:55:20Z,muthee,1058008,MDQ6VXNlcjEwNTgwMDg=,https://api.github.com/users/muthee,https://api.github.com/users/muthee/followers,https://api.github.com/users/muthee/subscriptions,https://api.github.com/users/muthee/orgs,https://api.github.com/users/muthee/repos,User,False
2021-06-06T00:46:16Z,viebanks,63057282,MDQ6VXNlcjYzMDU3Mjgy,https://api.github.com/users/viebanks,https://api.github.com/users/viebanks/followers,https://api.github.com/users/viebanks/subscriptions,https://api.github.com/users/viebanks/orgs,https://api.github.com/users/viebanks/repos,User,False
2021-06-21T19:25:39Z,burkesquires,881876,MDQ6VXNlcjg4MTg3Ng==,https://api.github.com/users/burkesquires,https://api.github.com/users/burkesquires/followers,https://api.github.com/users/burkesquires/subscriptions,https://api.github.com/users/burkesquires/orgs,https://api.github.com/users/burkesquires/repos,User,False
2021-07-06T10:29:14Z,roolearntocode,3473833,MDQ6VXNlcjM0NzM4MzM=,https://api.github.com/users/roolearntocode,https://api.github.com/users/roolearntocode/followers,https://api.github.com/users/roolearntocode/subscriptions,https://api.github.com/users/roolearntocode/orgs,https://api.github.com/users/roolearntocode/repos,User,False
2021-08-14T07:09:46Z,nomindbox,63395455,MDQ6VXNlcjYzMzk1NDU1,https://api.github.com/users/nomindbox,https://api.github.com/users/nomindbox/followers,https://api.github.com/users/nomindbox/subscriptions,https://api.github.com/users/nomindbox/orgs,https://api.github.com/users/nomindbox/repos,User,False
2021-10-05T01:18:16Z,douglaskruger,31582188,MDQ6VXNlcjMxNTgyMTg4,https://api.github.com/users/douglaskruger,https://api.github.com/users/douglaskruger/followers,https://api.github.com/users/douglaskruger/subscriptions,https://api.github.com/users/douglaskruger/orgs,https://api.github.com/users/douglaskruger/repos,User,False
2021-10-24T18:41:18Z,dottorebarbarossa,34378682,MDQ6VXNlcjM0Mzc4Njgy,https://api.github.com/users/dottorebarbarossa,https://api.github.com/users/dottorebarbarossa/followers,https://api.github.com/users/dottorebarbarossa/subscriptions,https://api.github.com/users/dottorebarbarossa/orgs,https://api.github.com/users/dottorebarbarossa/repos,User,False
